logFC	AveExpr	t	P.Value	adj.P.Val	B
HexCER d18:1/22:1	1.96091628322098	-1.44959323116245	6.22911971221476	2.47194425441502e-05	0.0139664850374448	2.8560838557342
HexCER d18:1/20:0	2.05306157264009	-2.18682130048171	5.64134929474597	6.70103592942625e-05	0.0189304265006292	1.95123931164293
HexCER d18:1/22:0	1.41574811403191	0.247953048983185	5.07242017851453	0.000184095008192902	0.0346712265429965	1.02225446046811
TG 54:7-FA20:5	-0.892652343712767	3.57660778339938	-4.44875213494089	0.000584926897686755	0.0574693000468567	-0.0509548342866815
TG 55:1-FA16:0	-0.766163902498934	2.94799121074231	-4.31275680471118	0.000757165922931074	0.0574693000468567	-0.291560353922375
TG 56:9-FA18:3	-0.887764400365075	-0.507718106533989	-4.27428288718842	0.000814805652734033	0.0574693000468567	-0.359998366265846
TG 56:8-FA16:0	-0.790394419810188	3.07918936787828	-4.26182856251684	0.000834415256640836	0.0574693000468567	-0.382185617295681
TG 53:0-FA16:0	-0.768223803305638	1.91415178359425	-4.24474045631605	0.000862112780016315	0.0574693000468567	-0.412653923807293
TG 56:8-FA18:2	-0.761034496476869	3.12789772564887	-4.21337203117645	0.00091544017773754	0.0574693000468567	-0.468661231028746
TG 58:10-FA22:5	-0.804250215453255	-1.05891467179493	-4.05319851405337	0.00124552527157134	0.0659018363378794	-0.75610286317878
PI 18:1_20:4	0.873257001957519	2.01824327170864	4.02486379973818	0.00131556112392189	0.0659018363378794	-0.807186063672958
TG 54:3-FA18:1	0.824667960343661	6.42211342403874	3.96427671334051	0.00147914113646435	0.0659018363378794	-0.916629098343718
HexCER d18:1/24:1	1.36104633384445	0.222648594177026	3.95146085671501	0.00151632543786271	0.0659018363378794	-0.939814914695061
TG 54:8-FA20:5	-0.783669279395732	1.39384289503793	-3.85927116596084	0.0018134939511606	0.0691651614315823	-1.10693537603789
TG 56:3-FA20:1	0.664084445728371	1.82610519715847	3.84983141596586	0.00184709677801923	0.0691651614315823	-1.12407871520002
TG 56:8-FA22:6	-0.672772795462769	5.66437886188968	-3.81969965773297	0.00195865943877047	0.0691651614315823	-1.17883578547809
TG 53:2-FA18:1	0.770576665693833	1.97671757769648	3.75054678296707	0.00224134191242349	0.0721758769696593	-1.30469199528125
TG 56:8-FA20:5	-0.733899605226204	2.76282551613193	-3.73744397970945	0.00229940846982985	0.0721758769696593	-1.32856554351417
TG 52:6-FA16:0	-0.895545458066973	0.121329253908878	-3.63050977337281	0.00283415690163003	0.0808587329368182	-1.52366533912462
TG 56:6-FA18:0	-0.649861454089835	-0.406311746922962	-3.6148818134298	0.00292224051637038	0.0808587329368182	-1.55221142544834
TG 52:5-FA22:5	-0.700306259648939	-1.70493099269825	-3.58940249618747	0.00307182969966668	0.0808587329368182	-1.59876629931971
TG 54:8-FA22:6	-0.673617618327617	1.58671252410549	-3.56794055949674	0.00320382740664892	0.0808587329368182	-1.63799286498247
PI 18:0_20:3	0.825941624694391	2.51725833368963	3.55415923708247	0.00329159443813596	0.0808587329368182	-1.6631864288225
TG 56:7-FA18:2	-0.637507606510465	2.18862889813447	-3.46694675264298	0.00390616770470306	0.0817458761159038	-1.82268202948
TG 58:10-FA22:6	-0.858417757640216	3.26743625268336	-3.45737163817309	0.00398033354996193	0.0817458761159038	-1.84019694920929
TG 52:7-FA20:5	-0.736709346504712	-0.513333161178075	-3.45217684317527	0.0040211624834788	0.0817458761159038	-1.84969942719272
TG 54:2-FA18:1	0.567348193690542	3.19948816260037	3.4449494967033	0.00407866876719618	0.0817458761159038	-1.86291996329828
PC 18:1_20:4	0.896221569499164	4.40236615767389	3.43882104783348	0.004128079494893	0.0817458761159038	-1.87413035841079
TG 53:2-FA17:0	0.57887306591676	0.398724589065192	3.41678341107323	0.00431078835113554	0.0817458761159038	-1.91444184435481
TG 58:9-FA22:5	-0.653007981505631	0.19494499545612	-3.39505555794397	0.00449889008673957	0.0817458761159038	-1.95418433757203
TG 56:7-FA18:3	-0.584908586167773	-1.26386095626348	-3.39139372532071	0.00453139389777641	0.0817458761159038	-1.96088184910097
TG 56:3-FA18:1	0.561990538654113	2.61098958032955	3.38046016688468	0.00462985493045827	0.0817458761159038	-1.9808785944619
TG 56:8-FA18:3	-0.605679814300901	-0.943139798170045	-3.36400599197618	0.00478209617644402	0.0818752830209354	-2.01096951561208
TG 56:9-FA22:6	-0.612637610501663	3.29619081589478	-3.33470588982547	0.00506574049063403	0.0831358834995271	-2.06454244114711
TG 52:4-FA20:0	-0.652186385595898	-1.22855848138322	-3.32512203698773	0.00516213345747008	0.0831358834995271	-2.08206226600289
TG 56:7-FA18:0	-0.547275679871077	-1.35845156691385	-3.31199502826491	0.00529715363890792	0.0831358834995271	-2.10605589540983
TG 55:3-FA18:1	0.753869810050458	0.977636633506456	3.27694773075375	0.00567522253011512	0.086662181878785	-2.17009383600775
TG 52:3-FA16:1	0.78932869078899	4.83245809630295	3.2233720122962	0.00630598655115419	0.0909703610376465	-2.26790972110818
PC 18:1_18:1	0.844079772047505	3.02542893539761	3.21705411506487	0.00638484249423575	0.0909703610376465	-2.27943729301925
TG 52:6-FA20:5	-0.755829943315147	0.639999109782328	-3.19328404039077	0.00669044355725391	0.0909703610376465	-2.32279203549665
TG 52:7-FA22:6	-0.603155737245529	-1.59042206541206	-3.19186067177416	0.00670919941505001	0.0909703610376465	-2.32538731142333
TG 56:5-FA18:0	-0.487324607182961	-0.44222812565539	-3.18530789354748	0.00679622455682665	0.0909703610376465	-2.33733393592407
LPC 18:1	0.7606966440744	5.77019695870734	3.17588022689357	0.00692340800817487	0.0909703610376465	-2.35451810897263
TG 52:4-FA16:0	-0.667536107471216	6.02191057984617	-3.14471565441323	0.00736094895977881	0.0945212764153416	-2.41128919439998
TG 54:3-FA16:1	0.694956728584813	0.73146403083349	3.12797210313385	0.00760728071990876	0.0947050346128576	-2.44176708842139
TG 56:9-FA20:5	-0.812233155444538	2.10524536477142	-3.12111602536593	0.0077104983932592	0.0947050346128576	-2.45424207112122
TG 55:2-FA18:2	-0.616455390067436	1.67606210851547	-3.10706603638912	0.00792639042914732	0.0952853317546433	-2.47979730463252
TG 53:1-FA17:0	0.65296118911529	-2.5712376190289	3.08257434045933	0.00831718597434413	0.095743314947762	-2.52431282639666
TG 56:4-FA20:2	0.593556677791586	0.388484986132163	3.07802417954679	0.00839186900141191	0.095743314947762	-2.53257840939197
TG 53:1-FA18:1	0.7073062264176	-0.341818472986112	3.06836150511727	0.00855267958842403	0.095743314947762	-2.55012605039355
TG 58:8-FA18:2	-0.542781731458254	0.979551230948535	-3.06305338733695	0.00864231692448825	0.095743314947762	-2.55976272561738
TG 51:1-FA18:1	0.727617710540946	0.312372156909572	3.04990914395726	0.0088683117353175	0.0963576178933536	-2.58361618701991
PI 18:0_20:4	0.651335830483944	5.98340758449057	3.02781239944142	0.00926150470699921	0.0975344285639126	-2.62368481110757
TG 52:6-FA22:6	-0.555980948960121	-0.763226008881391	-3.01912886684783	0.00942070411402586	0.0975344285639126	-2.63941967818779
TG 51:1-FA16:0	0.687882317396902	0.544931195047485	3.01515273013706	0.00949450189560211	0.0975344285639126	-2.64662239697419
PC 16:0_20:4	0.664241947438559	7.24582994204624	2.99911960989584	0.00979792801448027	0.0988540951460956	-2.67565191692476
TG 58:10-FA18:2	-0.694027023195916	1.7103159490359	-2.98707205140515	0.0100322199528282	0.0988586027172444	-2.69744971731228
TG 52:5-FA18:3	-0.663106807030983	3.65688852163931	-2.98120489806355	0.0101483167391154	0.0988586027172444	-2.70806028204627
TG 56:8-FA22:5	-0.510764682074732	0.693556924066697	-2.95446383526886	0.0106944906687161	0.100989502352538	-2.75637802332593
PC 17:0_18:1	0.603604357481387	-0.317233995645782	2.95303157734704	0.0107245489223935	0.100989502352538	-2.75896390429604
TG 54:0-FA16:0	-0.561289277749258	-0.790047903227717	-2.93212524261908	0.0111729071866721	0.103486763286389	-2.79668497857238
CE 20:3	0.712523429624258	4.26111098875923	2.91705083275205	0.0115076104167014	0.104867740087682	-2.8238543622112
TG 52:5-FA16:0	-0.723074421373929	3.31924302292187	-2.90059907264732	0.0118841715568843	0.104946152805618	-2.85347714267073
TG 54:2-FA20:1	0.603661704004762	2.41443587440594	2.9004471069445	0.0118877058045302	0.104946152805618	-2.85375062491818
CE 22:2	1.27701755221115	2.95757209555644	2.88061784674424	0.0123578547007418	0.107418275475679	-2.88941263061588
TG 54:7-FA22:5	-0.581914346914292	-1.08663606216781	-2.85679380322476	0.0129469404201754	0.108229568552106	-2.93219581274481
TG 54:6-FA16:0	-0.532025112698468	2.55495481502944	-2.85522492469932	0.0129866871057631	0.108229568552106	-2.93501070140357
PC 16:1_18:1	0.717646069937842	3.39211010616002	2.8536833178124	0.0130258595779525	0.108229568552106	-2.93777635249796
TG 54:6-FA20:5	-0.569641832155802	3.24778047954967	-2.81418058319178	0.0140701325458692	0.109937536859168	-3.00853773533336
TG 56:6-FA20:5	-0.451708649240425	-0.798900366189783	-2.80970227015891	0.0141935770361533	0.109937536859168	-3.01654638872496
TG 51:2-FA16:1	0.62972594773256	-0.958486459696753	2.80412669971687	0.0143487506555315	0.109937536859168	-3.02651336100883
TG 52:6-FA18:3	-0.611480640991347	1.42543157979889	-2.80396932079048	0.0143531546879272	0.109937536859168	-3.02679463027599
TG 56:7-FA20:3	-0.489560215668603	-0.0269462367571231	-2.7923927688756	0.0146807632324367	0.109937536859168	-3.04747467877081
TG 55:2-FA18:1	0.518807495924026	0.0697607481567907	2.79120814117981	0.0147146973006439	0.109937536859168	-3.04958977975377
PC 18:1_20:3	0.749122478368786	2.6316857622576	2.78912744532772	0.014774485430512	0.109937536859168	-3.05330427823317
LPC 20:3	0.715044733617655	3.04896774270855	2.78187178133494	0.0149848397535087	0.109937536859168	-3.06625228157508
TG 48:0-FA14:0	-0.465061456322054	-3.30601289387879	-2.77936406999989	0.0150582216101481	0.109937536859168	-3.07072558437872
TG 52:4-FA18:2	-0.548769080489109	6.8933024191166	-2.7660208507733	0.0154546245329335	0.109937536859168	-3.09451168253192
PC 17:0_20:4	0.640825663185836	1.52539231564573	2.76227360648029	0.0155677705176168	0.109937536859168	-3.10118681543031
CE 24:0	1.2783893724693	4.40901026947812	2.76046607414134	0.0156226368889724	0.109937536859168	-3.10440588586074
TG 56:8-FA20:4	-0.58845474438213	1.4031777019055	-2.75592798337663	0.0157612211342454	0.109937536859168	-3.11248564813405
PC 18:1_22:6	0.71362189409612	4.33974753180423	2.74239195082054	0.0161817524329417	0.109937536859168	-3.13656659728395
TG 56:7-FA22:5	-0.493273517541731	2.76488966148819	-2.74046525338543	0.016242493544771	0.109937536859168	-3.13999189545159
TG 52:5-FA20:5	-0.675448934660652	0.0667502887966151	-2.73723922676575	0.0163446957454339	0.109937536859168	-3.14572582796227
TG 60:12-FA22:6	-0.576330669239552	1.65952334491135	-2.73024293811827	0.0165685017637731	0.110131805841551	-3.15815528067994
TG 56:6-FA20:2	-0.496419722573198	-0.589180270182706	-2.70117374448024	0.0175308189975619	0.115173403879331	-3.2097129537981
TG 52:2-FA18:1	0.55637249279444	7.44177828635643	2.68114716964222	0.0182252178690237	0.117074300970103	-3.24514916839028
TG 54:6-FA22:6	-0.465911891226208	1.79778314275931	-2.67062661459862	0.018600647715823	0.117074300970103	-3.26373671688686
PI 16:0_18:2	-0.526967469328013	2.18408463306949	-2.66465308971499	0.0188171484901095	0.117074300970103	-3.27428184061768
CE 14:1	1.14071931083788	-0.446858508383187	2.66159368181721	0.0189289775503091	0.117074300970103	-3.279680148322
TG 50:2-FA14:0	0.54785355851819	2.15238384014086	2.66063215769941	0.018964256768093	0.117074300970103	-3.28137640104468
PC 18:1_20:0	0.680717141472752	0.750550993411492	2.65749078083643	0.0190799623707748	0.117074300970103	-3.28691702063787
SM d18:1/26:0	0.869620871074303	-0.150564914973965	2.64636200270124	0.0194954052906272	0.117074300970103	-3.30653086479936
