logFC	AveExpr	t	P.Value	adj.P.Val	B
TG 53:2-FA17:0	0.618049809913525	0.420489446841172	2.92673044984099	0.00826462941294982	0.0557441332751915	-2.59914470926392
TG 48:3-FA18:3	-0.851001495254426	-2.27521762436178	-2.92549351550199	0.00828762335418777	0.0557441332751915	-2.60164760211567
TG 56:6-FA20:2	-0.691779822789052	-0.697713659191514	-2.91868430050854	0.00841530763852244	0.0559370448913551	-2.61541880419999
LPC 20:3	0.758579711029077	3.07315384127045	2.88889226209045	0.00899651284557983	0.0587864473898419	-2.67553004861309
TG 56:2-FA20:0	0.682419401071744	0.81920394557485	2.88614176267706	0.00905207242994026	0.0587864473898419	-2.68106796320878
TG 60:11-FA22:6	-0.775974619350652	0.605357589672864	-2.86254931450059	0.00954233713394351	0.0612661418258873	-2.72848630140383
TG 58:7-FA16:0	-0.688627165719253	-0.715072453302526	-2.85474372016899	0.00971006921605842	0.0616425742367754	-2.74414153036128
LPC 18:1	0.698710167044156	5.73576002702388	2.84086234348165	0.0100153581410397	0.0628741927743047	-2.77194120252232
TG 46:0-FA14:0	-0.812717063129322	-2.06044964436404	-2.81556391888956	0.0105955018064589	0.065240147724026	-2.82246686130226
TG 56:6-FA18:0	-0.599071754563161	-0.378095247185921	-2.81439053724853	0.0106231744966556	0.065240147724026	-2.82480592486096
TG 54:7-FA22:5	-0.609664600456659	-1.10205286969135	-2.80829957772132	0.0107679346772563	0.0654180977704283	-2.83694154311535
TG 52:2-FA16:0	0.740398202918523	6.84562401378791	2.79366551811541	0.0111234715097865	0.0668591638620149	-2.86605470626998
SM d18:1/14:0	0.680099014526899	-0.558190807856329	2.77805894652995	0.0115149663489203	0.0678416979748161	-2.89703376415
TG 58:9-FA22:6	-0.787789051913274	4.22979394130333	-2.7775839654526	0.0115270849656325	0.0678416979748161	-2.89797547688696
TG 58:7-FA18:2	-0.617000011885519	-0.969879098977158	-2.74778561011513	0.0123121302008516	0.0717149851905274	-2.95691981302129
TG 56:5-FA20:1	-0.761607000587029	1.2050861716123	-2.73353760548012	0.0127052363160504	0.0732495767200867	-2.98500875143238
TG 52:5-FA22:5	-0.620062668712972	-1.66035121995605	-2.72598650486683	0.012918382619526	0.073726123030628	-2.9998698532862
TG 48:2-FA18:2	-0.873258164885564	0.868961155977179	-2.70051695400722	0.0136626467488172	0.0764334157402545	-3.04986423957888
TG 52:7-FA22:6	-0.582284226748462	-1.57882678180258	-2.69628200472608	0.0137902793118452	0.0764334157402545	-3.05815715959339
TG 52:5-FA18:3	-0.618166000312371	3.68185563648299	-2.69600724509689	0.0137985989477982	0.0764334157402545	-3.05869499886694
TG 57:3-FA18:2	-0.7242959896361	1.54297543448227	-2.68598292382463	0.0141054079317244	0.0769322236887779	-3.07830095702812
TG 54:6-FA18:3	-0.611477276635376	3.14769106277563	-2.68133727113636	0.0142497778590333	0.0769322236887779	-3.08737612940834
TG 56:7-FA18:3	-0.596243936496544	-1.27015837311279	-2.67982296218434	0.0142971389156136	0.0769322236887779	-3.0903327863228
TG 50:0-FA16:0	-0.716853707378052	0.346317180938666	-2.66504299896166	0.014767289875717	0.07871244131868	-3.11915113433155
PC 18:1_20:4	0.690022576720987	4.28781116168601	2.64717662802254	0.0153551642056433	0.0810810072540979	-3.15389145953234
DG 18:1_18:1	0.906032365863112	0.84134058253685	2.64092248314674	0.0155661302291826	0.081433922032298	-3.16602723982602
TG 50:5-FA18:2	-0.661632493406693	-0.667176560341712	-2.62679649617789	0.0160527556500586	0.0832092380025972	-3.19338937074731
TG 54:4-FA18:3	-0.649607233048781	-0.0262887263286716	-2.59650330734704	0.0171451720627438	0.0880638383222751	-3.25183753173371
TG 49:0-FA18:0	0.703130383396754	-2.47016147971273	2.58642674824236	0.0175238219877631	0.0889518039589776	-3.2712087811414
SM d18:1/18:1	0.723105846410297	0.0670205161106319	2.58069247958265	0.0177428026011425	0.0889518039589776	-3.28221642983732
TG 56:8-FA22:5	-0.61085977645187	0.63794853830162	-2.57945592278486	0.0177903607917955	0.0889518039589776	-3.28458863198072
TG 54:3-FA16:1	0.693010829184987	0.730382975611364	2.56499963962696	0.0183553249879173	0.0909715668260812	-3.31228111511669
TG 58:8-FA22:5	-0.612103989218714	1.16028276110808	-2.55886903328624	0.0185999736411482	0.0913824791934675	-3.32400232745436
TG 52:5-FA20:5	-0.72955617531508	0.0366907106552662	-2.55136138746861	0.0189037499414626	0.0920742992838481	-3.33833785384691
PC 16:1_18:0	0.640025560259336	-0.336334449913519	2.52970177151342	0.0198064692368192	0.0955287261397611	-3.37958085362915
PI 18:1_20:4	0.627166032998443	1.88152606673138	2.52444724278903	0.0200314816263301	0.0955287261397611	-3.38956021099814
TG 56:5-FA18:2	-0.673118337907056	2.00971054642466	-2.52239045525378	0.0201202095763391	0.0955287261397611	-3.39346365624299
TG 52:2-FA18:2	-0.759589636448615	2.13649482421962	-2.5178442347854	0.0203176383331797	0.0956622138187209	-3.40208605184152
PC 18:1_20:3	0.673895281376246	2.58989287503952	2.51147813228318	0.0205971519728041	0.0961767840052424	-3.41414707857571
TG 53:2-FA18:2	0.938579239390283	0.927517303332439	2.50178098327141	0.0210298510126937	0.0973923428046882	-3.43248975726879
TG 56:7-FA18:2	-0.564408797559481	2.22923934755168	-2.49654028826539	0.0212672253332954	0.0976909131163571	-3.44238802805753
TG 50:3-FA14:1	0.670712067922778	-1.99573276830171	2.48805432317013	0.0216569156626027	0.09822864612767	-3.45839360475827
TG 47:1-FA16:0	0.576167418072647	-1.72443112647447	2.48643567043247	0.0217320013556792	0.09822864612767	-3.46144346157303
TG 56:7-FA22:5	-0.559668519814395	2.72800354911449	-2.47131009906325	0.0224455003446096	0.100648473767496	-3.48989430985635
TG 52:6-FA18:3	-0.548449226751874	1.46044903215415	-2.45405300220356	0.023286244189441	0.103165266671799	-3.52224612597372
PC 18:0_20:3	0.679400037303104	4.28376033186881	2.45155442380351	0.0234103788901907	0.103165266671799	-3.52692053878758
TG 52:8-FA18:2	-0.666474054629357	-2.66912121664987	-2.44439848103963	0.0237693241650413	0.103165266671799	-3.54029446213875
TG 56:6-FA22:6	-0.647149661764635	-0.660310214505308	-2.44426117863126	0.0237762612121642	0.103165266671799	-3.54055087215077
TG 56:7-FA22:6	-0.531489994409409	5.38146633818251	-2.4379510852701	0.0240971148885799	0.103165266671799	-3.55232679758512
PC 18:0_20:4	0.695532194943797	6.07673918822338	2.4343691727182	0.0242810370163727	0.103165266671799	-3.55900433138845
TG 52:1-FA20:0	0.722383227714193	-0.297456107028163	2.43429380080827	0.0242849211811491	0.103165266671799	-3.55914478751351
PI 18:0_20:4	0.601294281636062	5.95560672401952	2.42359798636454	0.0248420158640622	0.104183236122039	-3.5790534555723
TG 50:0-FA18:0	-0.67228227686593	-0.425286752627347	-2.41846099245357	0.0251137845202019	0.104183236122039	-3.58859885582101
HexCER d18:1/24:1	0.587921960350745	-0.206864946652809	2.41745461168698	0.0251673492336428	0.104183236122039	-3.59046763252558
TG 60:12-FA22:6	-0.634418117834158	1.62725254013657	-2.41567873278295	0.0252621298207422	0.104183236122039	-3.59376431223457
TG 58:9-FA18:1	-0.661605646512371	2.03159612263046	-2.40267770680964	0.0259661820781606	0.106310817928701	-3.61785993367502
CE 20:3	0.617399863568502	4.2082645631727	2.38211045314242	0.0271172886344926	0.110224950204952	-3.65583696981663
TG 54:6-FA18:1	-0.516119880101174	3.48581712355282	-2.37717395640288	0.0274005310166007	0.110580714459853	-3.66492604614883
TG 50:2-FA16:1	0.731727860898118	4.89488225849584	2.37230701123524	0.0276824653627476	0.11083844180879	-3.67387710754107
TG 53:3-FA18:2	0.703446172023994	2.04407318613184	2.3693214638876	0.0278567411271648	0.11083844180879	-3.67936308053278
PC 18:1_18:1	0.603461231077348	2.89175196819197	2.36440204731513	0.0281461214538117	0.111206703646179	-3.68839438958674
CE 18:1	0.540766683312064	7.17022516640682	2.35889037139188	0.0284736460025753	0.111719513829549	-3.69850088100098
SM d18:1/18:0	0.667544722248254	1.29787863079566	2.35032270164955	0.0289897789026763	0.112267313139695	-3.71418545457874
TG 51:2-FA18:2	0.94392703224286	1.72249707546666	2.34997891880462	0.0290106685281336	0.112267313139695	-3.71481415629786
TG 51:2-FA18:1	0.502717254063523	2.23985284997676	2.34438333656244	0.0293526416583475	0.112817976441948	-3.72504013200189
Cer d18:1/24:0	-0.511661926192747	-0.865287507262402	-2.32836910858373	0.0303520451095324	0.115870983019499	-3.75423204817324
CE 16:0	0.559108140586242	6.47554785580501	2.3205863295768	0.0308490074162456	0.116977779799857	-3.76837905567018
TG 48:0-FA16:0	-0.719940640289574	1.67454370637926	-2.31327898258549	0.0313224333865592	0.11798116575604	-3.78163784594315
TG 50:2-FA18:2	-0.59126665527624	4.04770224185647	-2.30554532520403	0.0318307675302115	0.118941265414426	-3.79564468358173
HexCER d18:1/16:0	0.593119025721883	-0.857575610620148	2.30302057878602	0.0319983581291908	0.118941265414426	-3.80021169032559
TG 56:9-FA20:5	-0.638942960190731	2.20151769546798	-2.28995741201157	0.0328785319823678	0.121414186732273	-3.82379658060957
TG 56:3-FA20:1	0.565704173668351	1.77144949045846	2.27958684280351	0.0335930846257929	0.123211109974573	-3.84246603231719
TG 52:2-FA16:1	0.599281138772928	0.736588187683672	2.27660340136731	0.0338012779576264	0.123211109974573	-3.84782800080186
TG 57:2-FA18:1	-0.61023829042025	1.91678666850594	-2.26713339485726	0.0344700010040158	0.124843272867108	-3.86482133817305
TG 46:0-FA16:0	-0.683125592241987	-0.94198743495158	-2.2526451545812	0.0355166170689543	0.127814577350058	-3.89074089324558
TG 52:3-FA18:3	-0.577530244074687	-1.30649004262377	-2.24426083884681	0.036135522491995	0.127828184413844	-3.90569667624193
TG 46:2-FA14:0	-0.595243116548096	-1.91257988879138	-2.24340314186695	0.0361993891009979	0.127828184413844	-3.90722479859964
TG 56:7-FA16:0	-0.487248603501714	3.31479018503855	-2.2423317434736	0.0362793137796151	0.127828184413844	-3.90913318768831
TG 54:7-FA18:1	-0.477260884541684	0.782946543345611	-2.24037933172357	0.036425376443591	0.127828184413844	-3.91260948854105
TG 50:2-FA18:0	-0.634118394041619	-1.01820870276508	-2.23735600761049	0.0366526183639835	0.127831662812658	-3.9179890934341
TG 52:6-FA18:1	-0.491891356733756	-0.909871162791367	-2.23117433111348	0.0371212956531405	0.127918017097892	-3.92897539723665
TG 56:3-FA18:2	-0.692494726327599	0.392612892793593	-2.22927260890434	0.0372665779947809	0.127918017097892	-3.93235164069242
TG 52:6-FA14:0	-0.480774066169587	-1.69150758126606	-2.22809777830115	0.0373565890639862	0.127918017097892	-3.93443654849832
TG 55:5-FA18:1	0.533613676066548	0.135142175099442	2.21541773311407	0.0383408166374574	0.13049735783231	-3.9568981223834
TG 51:4-FA15:0	-0.715831110151601	0.331691845124716	-2.18893081649707	0.0404735480069305	0.136931464813867	-4.0035728758884
TG 56:7-FA20:3	-0.533111638714839	-0.0511414717828099	-2.18070114321885	0.0411578936309943	0.138417916080427	-4.01800698326009
LPC 20:4	0.577755868959448	3.93568096098166	2.16329232756888	0.0426403630426549	0.142174637430825	-4.04843286021802
CE 22:0	0.598343634731228	0.0697937161000093	2.16017812382678	0.0429106188120966	0.142174637430825	-4.05386012960113
PC 18:0_22:6	0.544909413803033	5.39480746166107	2.15880990910866	0.0430298460188868	0.142174637430825	-4.05624308584973
TG 52:4-FA20:4	-0.497923280595731	-0.104999929470365	-2.15152727385727	0.0436695374150017	0.143449352555093	-4.0689115066982
TG 54:2-FA18:1	0.502073136716494	3.16322424205923	2.1442517417295	0.044317211522413	0.144735401792852	-4.08154157406566
LPC 16:1	0.525323650224841	2.7980380922055	2.14070430341865	0.0446361564846798	0.144939243757725	-4.08769033985262
TG 50:5-FA16:0	-0.516249142054226	-1.69867907166045	-2.13011052674187	0.0456010500106822	0.147052251660799	-4.10601540810635
TG 54:5-FA22:1	-0.458220208430863	-1.70164008591342	-2.12787105350162	0.0458074270660189	0.147052251660799	-4.10988209601329
TG 52:7-FA20:5	-0.498916310820237	-0.381225919131144	-2.11925737270954	0.0466091177947	0.148780517254268	-4.12473118248178
TG 58:7-FA22:6	-0.494202102687358	0.714847363890109	-2.11245623234914	0.0472510548116839	0.14998228072248	-4.1364293541953
TG 48:3-FA14:0	-0.493705302384622	0.143371696025406	-2.10386519281366	0.0480733517946505	0.151739909295964	-4.15117287856409
TG 53:0-FA16:0	-0.451753423828612	2.08996866108148	-2.10020605004295	0.0484274966169485	0.152008531047644	-4.15744117599291
DG 16:0_18:1	0.586321629107125	0.438636232899632	2.09098100260233	0.0493308029271793	0.153988417977107	-4.17321392537261
TG 50:2-FA18:1	0.592106522354757	5.06431683915514	2.07763887868018	0.0506641307796162	0.157281504892765	-4.19594893825033
TG 51:1-FA15:0	0.535872116419652	-2.63359103023923	2.07249143287514	0.0511871491833142	0.157668962378135	-4.20469571001039
TG 60:11-FA22:5	-0.479275735144806	-1.50562833776291	-2.06821081473268	0.0516257860371859	0.157668962378135	-4.211959093531
TG 52:3-FA14:0	-0.469620356689878	-1.67993779966265	-2.06820756397349	0.051626120424699	0.157668962378135	-4.21196460583425
TG 54:5-FA18:2	-0.486983321746819	5.92870564688761	-2.06544426357099	0.0519110713055835	0.15768685638524	-4.21664834277432
TG 54:2-FA20:1	0.517496733442706	2.36656644631591	2.05796238970706	0.052689710444269	0.159196183962631	-4.22931002885215
PC 16:0_20:4	0.49144134589057	7.14982960785291	2.04484885876714	0.0540797767006254	0.162526988488582	-4.25143165991043
TG 54:4-FA20:4	-0.443404340451987	-1.01536567950119	-2.0408163665323	0.0545137962668702	0.162586842164243	-4.25821603186925
TG 51:1-FA17:0	0.453239617277	-0.193281266693727	2.03897352496664	0.0547131800774404	0.162586842164243	-4.26131362101976
TG 56:2-FA16:0	-0.562345251946375	-0.834439164632423	-2.03667312772844	0.0549629855811867	0.162586842164243	-4.26517778595431
TG 51:4-FA20:4	0.493857190823744	-2.58379433222385	2.02627523355634	0.0561049109721295	0.16510038905861	-4.28260897623282
TG 55:2-FA18:2	-0.512443448085916	1.73384652072743	-2.01636375712012	0.0572131351016627	0.167489229701759	-4.29917111227391
TG 56:8-FA20:4	-0.503847831852939	1.45018154219949	-2.00945011094156	0.0579977094330087	0.16891085479201	-4.31069269544844
TG 53:4-FA16:0	0.629169022810612	0.437391784759508	1.99952785053651	0.0591404984440906	0.170936580614896	-4.32718313040562
TG 54:0-FA16:0	-0.429983032540076	-0.717099989222616	-1.99659290444635	0.0594823573732785	0.170936580614896	-4.3320506967242
TG 48:0-FA14:0	-0.469828166243467	-3.30866106605736	-1.99557872962583	0.0596008962497956	0.170936580614896	-4.33373160476429
TG 60:10-FA22:5	-0.543177745260382	-2.23604462936033	-1.9872723703702	0.0605797134604588	0.172866354066461	-4.34747762994078
TG 51:1-FA18:0	0.539231366555344	-1.60316603896816	1.98273261763204	0.0611207052294525	0.173529481608067	-4.35497446893776
PG 16:1_18:2	-0.421802601595512	-1.72188858897278	-1.97811481894613	0.0616754056177263	0.173529481608067	-4.36258861616443
CE 16:1	0.46734561132274	6.06015116972066	1.97763335690354	0.0617334969968523	0.173529481608067	-4.36338181088303
TG 52:4-FA16:0	-0.479918387511042	6.12614264649071	-1.97003604756053	0.0626566243415972	0.175146674985939	-4.37588128000677
TG 51:3-FA18:3	0.858286496225259	-1.59350665313656	1.96781500088596	0.0629288053489305	0.175146674985939	-4.37952944682224
TG 46:3-FA16:0	0.533453166625818	-3.11265644843065	1.95941899462332	0.0639672189388677	0.177028005187907	-4.39329560169506
PC 15:0_18:2	-0.486182097477749	-0.149149406648657	-1.95730229624438	0.0642314001124266	0.177028005187907	-4.39675998577715
PC 18:1_22:6	0.485132923252498	4.21280921466888	1.95380792029001	0.0646696453305108	0.177370629183197	-4.40247375176384
TG 50:3-FA14:0	-0.421159631923288	2.46700524675314	-1.91018224912073	0.0703681256708394	0.192067589391421	-4.47323013861482
TG 48:0-FA18:0	-0.419635846384571	-3.11590955080221	-1.90582818982642	0.0709604940272005	0.192669100316111	-4.48023269932034
CE 20:4	0.510430101909587	8.70117323456486	1.90337254786835	0.0712965179195655	0.192669100316111	-4.48417727456646
SM d18:1/22:1	0.456137492988181	3.3076076076238	1.9010797446484	0.0716115240112979	0.192669100316111	-4.48785715089921
TG 49:1-FA16:0	0.511596463772482	0.525066264186211	1.89696978913596	0.0721792556714096	0.19327620594477	-4.49444593031306
TG 48:2-FA14:1	0.519336175044334	-1.6095226745752	1.88896563546882	0.0732962945990561	0.195021551181768	-4.50724963582328
TG 56:6-FA18:2	-0.465825662414455	1.47050562545371	-1.88736564832127	0.0735213989410914	0.195021551181768	-4.50980458347435
TG 50:4-FA18:2	-0.431295570925903	2.64975350582512	-1.88373750972105	0.0740340992042775	0.195360824494083	-4.51559269528508
SM d18:1/24:0	-0.440424512910242	2.74992078219757	-1.8815773575705	0.0743408447189874	0.195360824494083	-4.51903524012654
TG 56:3-FA18:1	0.445389484164321	2.54621121672411	1.87068962429504	0.0759039709970379	0.198545109320956	-4.53634518531489
TG 50:4-FA18:3	-0.449610777241501	0.584644514498323	-1.86681046538491	0.0764678177957021	0.199098235274524	-4.54249575383838
